iter	MultiClass
0	0.6831040536
1	0.673321105
2	0.6641337908
3	0.6554306559
4	0.6471927754
5	0.6394213867
6	0.6320669203
7	0.6251347161
8	0.6185465721
9	0.6123646318
10	0.606462572
11	0.6008339454
12	0.5955510207
13	0.5904977339
14	0.5857059349
15	0.5812046419
16	0.5768653773
17	0.5727732706
18	0.5688828782
19	0.5651654098
20	0.5616213624
21	0.5583155504
22	0.5551684008
23	0.5521509717
24	0.5492885743
25	0.5465398358
26	0.5439046438
27	0.5414458324
28	0.5391014412
29	0.5368491914
30	0.534672093
31	0.5326190225
32	0.5306531801
33	0.5287863527
34	0.5270172878
35	0.525330567
36	0.523723164
37	0.522211258
38	0.5207458339
39	0.519358189
40	0.5180630172
41	0.516830601
42	0.5156674373
43	0.51452159
44	0.5134439295
45	0.5124153737
46	0.5114436591
47	0.5104984484
48	0.5095983234
49	0.5087523366
50	0.5079548561
51	0.5071760744
52	0.5064565322
53	0.5057460496
54	0.5050960893
55	0.5044575069
56	0.5038561199
57	0.5032806201
58	0.5027303649
59	0.5021934378
60	0.5016905225
61	0.5012173968
62	0.5007797939
63	0.5003424575
64	0.4999333727
65	0.4995428504
66	0.4991815906
67	0.4988333766
68	0.4984876662
69	0.4981348547
70	0.4978316004
71	0.4975462748
72	0.4972597247
73	0.496972643
74	0.4967020129
75	0.4964586832
76	0.4962090846
77	0.496001669
78	0.4957759887
79	0.4955598378
80	0.4953748401
81	0.495200724
82	0.4950156296
83	0.4949008347
84	0.494720917
85	0.4945546619
86	0.4943943672
87	0.49420319
88	0.4940285995
89	0.4938781775
90	0.4937269706
91	0.4935852738
92	0.4934426559
93	0.4933112665
94	0.4931714562
95	0.4930522451
96	0.492917865
97	0.4928131129
98	0.4926969338
99	0.4925899085
100	0.492486525
101	0.4923894207
102	0.4923024691
103	0.4922129652
104	0.4921185784
105	0.4920384185
106	0.4919544366
107	0.4918685929
108	0.4917873378
109	0.4917090441
110	0.4916519158
111	0.4915894798
112	0.4915168049
113	0.491453072
114	0.4913939426
115	0.4913307298
116	0.4912972599
117	0.4912392904
118	0.4911933907
119	0.4911415404
120	0.4910958774
121	0.4910384059
122	0.4909954243
123	0.4909410663
124	0.4909037528
125	0.4908548327
126	0.4908158503
127	0.4907707237
128	0.4907246603
129	0.4906877132
130	0.4906493142
131	0.4906143397
132	0.4905697804
133	0.490535895
134	0.4905009779
135	0.4904696195
136	0.4904419278
137	0.4904151363
138	0.490384219
139	0.490350566
140	0.490313457
141	0.4902578704
142	0.4902045115
143	0.4901495929
144	0.4901226907
145	0.4900808703
146	0.4900357179
147	0.4900097329
148	0.4899808793
149	0.4899401012
150	0.4899156308
151	0.4898838636
152	0.4898570478
153	0.489822075
154	0.4897842897
155	0.4897470907
156	0.4897165167
157	0.4896808936
158	0.4896581925
159	0.4896358611
160	0.4896060948
161	0.4895813907
162	0.4895598962
163	0.4895414978
164	0.4895258241
165	0.4895067406
166	0.4894773131
167	0.4894626288
168	0.4894471615
169	0.4894365679
170	0.4894133075
171	0.4893951738
172	0.4893733089
173	0.4893565576
174	0.4893235761
175	0.4893015468
176	0.4892736298
177	0.4892472382
178	0.4892252741
179	0.4892114886
180	0.4891944413
181	0.4891824209
182	0.4891684494
183	0.4891492099
184	0.4891141326
185	0.4890906999
186	0.4890618806
187	0.4890509204
188	0.4890329305
189	0.4890001067
190	0.4889846924
191	0.4889748014
192	0.4889615528
193	0.4889530589
194	0.4889391445
195	0.4889180448
196	0.4889023839
197	0.4888843875
198	0.4888742898
199	0.4888462996
200	0.4888238444
201	0.4888026556
202	0.4887842612
203	0.4887713876
204	0.4887470402
205	0.4887317547
206	0.4887152582
207	0.4886981154
208	0.4886840792
209	0.4886709753
210	0.4886524577
211	0.4886341044
212	0.48862148
213	0.4886050026
214	0.4885911431
215	0.4885813789
216	0.4885684885
217	0.4885612453
218	0.4885552536
219	0.4885395058
220	0.4885279239
221	0.4885087526
222	0.488491314
223	0.4884726305
224	0.4884567188
225	0.4884431971
226	0.4884308938
227	0.488415975
228	0.4884083281
229	0.4883932265
230	0.4883834039
231	0.4883600562
232	0.4883448403
233	0.4883270984
234	0.4883158932
235	0.4883046358
236	0.4882854393
237	0.4882733249
238	0.4882616213
239	0.4882482985
240	0.4882372805
241	0.4882291271
242	0.4882193816
243	0.4882109909
244	0.4882045719
245	0.4881864177
246	0.4881718408
247	0.4881479965
248	0.4881366223
249	0.4881215841
250	0.4881122053
251	0.4880964219
252	0.4880908758
253	0.4880759672
254	0.4880695487
255	0.4880551017
256	0.4880405153
257	0.4880314082
258	0.4880217886
259	0.4879982125
260	0.4879864999
261	0.4879725517
262	0.4879615835
263	0.487949008
264	0.4879386382
265	0.4879326464
266	0.487928681
267	0.4879159342
268	0.4879090085
269	0.4878917523
270	0.4878781749
271	0.4878650706
272	0.4878466755
273	0.4878374992
274	0.4878320595
275	0.4878219667
276	0.4878052393
277	0.4877930169
278	0.4877796065
279	0.4877665258
280	0.4877535099
281	0.4877408203
282	0.4877355502
283	0.4877233606
284	0.4877091546
285	0.487689841
286	0.4876745713
287	0.4876650753
288	0.4876510618
289	0.4876479113
290	0.4876407641
291	0.4876344762
292	0.4876215385
293	0.487609658
294	0.487601257
295	0.4875923565
296	0.4875753942
297	0.4875643884
298	0.4875501887
299	0.4875326949
300	0.4875216197
301	0.4875027509
302	0.4874889584
303	0.4874839102
304	0.487471174
305	0.4874568369
306	0.487443618
307	0.4874401442
308	0.4874317886
309	0.487426561
310	0.4874192114
311	0.487401734
312	0.4873870844
313	0.4873769788
314	0.4873612635
315	0.4873469835
316	0.4873381476
317	0.4873258322
318	0.4873161783
319	0.4873060451
320	0.4872986304
321	0.4872902159
322	0.4872691176
323	0.4872577698
324	0.4872485375
325	0.4872384321
326	0.4872255979
327	0.4872211717
328	0.487204881
329	0.4871957451
330	0.4871846164
331	0.4871685529
332	0.4871614872
333	0.4871525782
334	0.4871469095
335	0.4871357488
336	0.4871290501
337	0.4871178294
338	0.4871022212
339	0.4870923349
340	0.4870802268
341	0.4870687073
342	0.4870601772
343	0.4870547894
