iter	Passed	Remaining
0	1349	673442
1	2514	626063
2	3470	574945
3	3841	476284
4	4158	411645
5	4592	378131
6	4909	345798
7	5436	334360
8	6016	328215
9	6558	321367
10	7647	339954
11	8204	333644
12	8745	327601
13	9462	328500
14	10388	335881
15	10939	330927
16	11246	319539
17	11515	308367
18	12256	310287
19	13417	322015
20	14034	320113
21	14246	309547
22	14617	303145
23	15750	312388
24	16104	305976
25	16406	299102
26	16982	297514
27	17499	294989
28	17824	289494
29	18524	290214
30	19235	291012
31	19797	289535
32	20403	288745
33	21310	292083
34	21619	287224
35	21955	282976
36	22544	282113
37	23112	280998
38	24293	287159
39	25383	291909
40	26122	292445
41	26651	290626
42	27256	289684
43	27890	289049
44	29261	295864
45	29630	292442
46	30318	292218
47	31188	293690
48	31550	290392
49	31936	287424
50	32929	289908
51	34046	293319
52	34351	289722
53	35095	289866
54	36246	293271
55	36996	293328
56	37723	293186
57	38618	294303
58	39973	298784
59	40545	297336
60	40804	293655
61	41360	292191
62	42490	294732
63	43450	296004
64	44383	297028
65	45776	301015
66	47061	304145
67	48541	308382
68	49294	307911
69	50125	307913
70	50962	307928
71	51794	307891
72	52990	309956
73	54187	311944
74	54978	311546
75	55742	310984
76	56303	309303
77	57712	312238
78	58738	313021
79	60170	315897
80	60930	315185
81	62009	316096
82	62416	313587
83	63608	315011
84	64729	316031
85	66338	319349
86	67557	320706
87	68356	320032
88	69277	319920
89	69659	317335
90	70121	315162
91	70709	313579
92	71087	311105
93	71598	309243
94	73337	312650
95	74795	314765
96	75433	313398
97	76316	313052
98	77568	314193
99	78791	315167
100	79592	314428
101	80331	313451
102	81120	312666
103	81621	310789
104	82900	311864
105	84074	312504
106	84667	310975
107	85067	308762
108	85813	307826
109	87636	310711
110	88311	309486
111	89230	309118
112	90524	310025
113	91111	308501
114	92151	308508
115	93697	310170
116	95136	311431
117	96340	311882
118	96973	310476
119	98374	311518
120	99907	312932
121	101478	314417
122	102658	314653
123	103267	313134
124	104570	313712
125	105925	314413
126	107704	316328
127	109512	318270
128	110147	316780
129	110756	315230
130	111556	314232
131	112178	312740
132	113680	313689
133	114127	311720
134	115764	312992
135	116264	311178
136	117519	311384
137	118889	311870
138	119535	310449
139	120609	310138
140	122623	312211
141	123484	311319
142	125415	313100
143	126848	313596
144	127377	311855
145	128267	311005
146	129975	312117
147	131048	311682
148	131683	310207
149	132649	309516
150	134423	310686
151	135159	309443
152	137205	311177
153	138321	310774
154	139894	311379
155	140952	310818
156	142714	311790
157	143259	310092
158	145165	311330
159	146107	310478
160	148110	311859
161	148517	309869
162	149880	309876
163	151066	309502
164	152375	309368
165	154373	310607
166	155987	311041
167	156503	309280
168	157469	308415
169	159350	309326
170	160319	308450
171	162590	310056
172	163906	309811
173	165466	310011
174	167696	311437
175	169134	311361
176	170608	311337
177	172165	311445
178	174193	312379
179	176262	313355
180	176852	311690
181	178795	312400
182	180912	313384
183	181394	311524
184	182524	310785
185	183179	309238
186	183748	307557
187	184434	306082
188	186300	306557
189	187285	305570
190	189117	305954
191	190950	306316
192	191668	304882
193	193630	305416
194	194325	303944
195	195590	303364
196	197425	303655
197	198944	303441
198	200782	303696
199	201789	302684
200	203350	302497
201	204856	302214
202	206644	302332
203	208566	302626
204	209612	301637
205	211174	301385
206	212673	301031
207	213732	300047
208	215009	299367
209	216785	299370
210	219186	300213
211	220617	299706
212	221718	298747
213	223485	298677
214	225318	298678
215	226196	297406
216	227275	296401
217	228345	295382
218	230164	295324
219	230973	293965
220	232040	292938
221	233899	292901
